inst#,actual,predicted,error,prediction,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
499,1:?,2:bad,,0.99,6.6,0.31,0.37,6.2,0.052,13,164,0.99602,3.24,0.39,8.8
500,1:?,2:bad,,0.97,6.5,0.38,0.53,1.4,0.142,5,69,0.9926,3.14,0.52,10.1
501,1:?,2:bad,,0.99,7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5
502,1:?,2:bad,,0.99,7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5
503,1:?,2:bad,,0.99,7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5
504,1:?,2:bad,,1,6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2
505,1:?,2:bad,,0.99,7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5
506,1:?,2:bad,,1,6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2
507,1:?,2:bad,,0.78,5.3,0.43,0.11,1.1,0.029,6,51,0.99076,3.51,0.48,11.2
508,1:?,1:good,,0.87,5.4,0.22,0.35,6.5,0.029,26,87,0.99092,3.29,0.44,12.5
509,1:?,2:bad,,0.82,6.2,0.345,0.27,10.1,0.056,38,187,0.99486,3.31,0.56,10.6
510,1:?,2:bad,,0.78,5.6,0.255,0.57,10.7,0.056,66,171,0.99464,3.25,0.61,10.4
511,1:?,2:bad,,0.62,5.2,0.2,0.27,3.2,0.047,16,93,0.99235,3.44,0.53,10.1
512,1:?,2:bad,,0.98,6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2
513,1:?,2:bad,,0.98,6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2
514,1:?,2:bad,,0.65,7.5,0.23,0.3,1.2,0.03,27,80,0.99192,3.05,0.68,10.5
515,1:?,2:bad,,0.98,6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2
516,1:?,1:good,,0.95,5.7,0.28,0.36,1.8,0.041,38,90,0.99002,3.27,0.98,11.9
517,1:?,1:good,,0.64,5.9,0.22,0.29,4.2,0.037,69,144,0.99214,3.13,0.74,10.8
518,1:?,2:bad,,0.96,7.6,0.36,0.48,13.5,0.038,44,116,0.9982,3.04,0.48,9.2
519,1:?,2:bad,,0.93,7.6,0.35,0.47,13.3,0.037,42,116,0.99822,3.04,0.5,9.2
520,1:?,1:good,,0.5,5.3,0.47,0.1,1.3,0.036,11,74,0.99082,3.48,0.54,11.2
521,1:?,2:bad,,0.6,7.5,0.29,0.24,9.9,0.058,25,115,0.99567,3.15,0.46,10.9
522,1:?,2:bad,,0.97,6,0.33,0.26,5.1,0.051,16,119,0.99416,3.15,0.41,9.2
523,1:?,2:bad,,0.97,6,0.33,0.26,5.1,0.051,16,119,0.99416,3.15,0.41,9.2
524,1:?,1:good,,0.74,5.8,0.32,0.23,1.5,0.033,39,121,0.9887,2.96,0.35,12
525,1:?,1:good,,0.93,6,0.31,0.27,2.3,0.042,19,120,0.98952,3.32,0.41,12.7
526,1:?,1:good,,0.93,6,0.31,0.27,2.3,0.042,19,120,0.98952,3.32,0.41,12.7
527,1:?,1:good,,0.93,6,0.29,0.27,2.3,0.044,20,117,0.9895,3.31,0.41,12.7
528,1:?,2:bad,,0.97,7.1,0.46,0.23,13.7,0.045,44,192,0.9981,3.11,0.53,9.4
529,1:?,2:bad,,1,6.9,0.42,0.2,15.4,0.043,57,201,0.99848,3.08,0.54,9.4
530,1:?,1:good,,0.99,5.2,0.31,0.2,2.4,0.027,27,117,0.98886,3.56,0.45,13
531,1:?,2:bad,,0.62,7.2,0.22,0.35,5.5,0.054,37,183,0.99474,3.08,0.5,10.3
532,1:?,2:bad,,0.85,5.6,0.18,0.29,2.3,0.04,5,47,0.99126,3.07,0.45,10.1
533,1:?,2:bad,,0.84,5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1
534,1:?,2:bad,,0.84,5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1
535,1:?,2:bad,,0.96,7.6,0.28,0.17,1.6,0.046,28,117,0.99288,3.08,0.43,10
536,1:?,2:bad,,0.84,5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1
537,1:?,2:bad,,0.58,7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4
538,1:?,2:bad,,0.58,7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4
539,1:?,2:bad,,0.64,7.4,0.22,0.28,9,0.046,22,121,0.99468,3.1,0.55,10.8
540,1:?,2:bad,,0.58,7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4
541,1:?,2:bad,,0.99,6.4,0.29,0.3,6.5,0.209,62,156,0.99478,3.1,0.4,9.4
542,1:?,2:bad,,0.99,7.2,0.34,0.23,8.9,0.105,22,155,0.99692,3.01,0.58,9.5
543,1:?,1:good,,0.85,6.5,0.22,0.27,1.6,0.039,36,116,0.99178,3.38,0.57,11
544,1:?,1:good,,0.87,7.1,0.23,0.28,1.9,0.046,33,103,0.98997,3.12,0.31,12
545,1:?,1:good,,0.81,6.3,0.41,0.22,7.3,0.035,23,117,0.99172,3.2,0.39,11.94
546,1:?,1:good,,0.98,6.7,0.41,0.24,5.4,0.035,33,115,0.9901,3.12,0.44,12.893333
547,1:?,2:bad,,1,7.2,0.585,0.2,10.4,0.086,17,94,0.99681,3.13,0.4,9.4
548,1:?,1:good,,0.97,6.7,0.34,0.26,1.9,0.038,58,138,0.9893,3,0.47,12.2
549,1:?,1:good,,0.81,6.3,0.41,0.22,7.3,0.035,23,117,0.99172,3.2,0.39,11.94
550,1:?,1:good,,0.98,6.7,0.41,0.24,5.4,0.035,33,115,0.9901,3.12,0.44,12.893333
551,1:?,2:bad,,0.94,6.4,0.26,0.35,7.7,0.056,45,191,0.99527,3.16,0.5,9.5
552,1:?,2:bad,,0.51,7.4,0.16,0.33,1.2,0.042,47,121,0.99198,3.04,0.68,10.5
553,1:?,2:bad,,0.92,6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5
554,1:?,2:bad,,0.99,7.4,0.38,0.34,8.3,0.052,44,168,0.99627,3.11,0.52,9.2
555,1:?,2:bad,,0.92,6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5
556,1:?,1:good,,0.55,6.4,0.42,0.19,9.3,0.043,28,145,0.99433,3.23,0.53,10.98
557,1:?,2:bad,,0.93,6.4,0.23,0.26,8.1,0.054,47,181,0.9954,3.12,0.49,9.4
558,1:?,2:bad,,0.92,6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5
559,1:?,2:bad,,0.99,7.4,0.38,0.34,8.3,0.052,44,168,0.99627,3.11,0.52,9.2
560,1:?,2:bad,,0.54,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8
561,1:?,2:bad,,0.54,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8
562,1:?,2:bad,,0.54,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8
563,1:?,2:bad,,0.54,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8
564,1:?,2:bad,,0.54,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8
565,1:?,2:bad,,0.54,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8
566,1:?,2:bad,,0.54,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8
567,1:?,2:bad,,0.67,6.8,0.24,0.29,2,0.044,15,96,0.99232,3.23,0.64,10.4
568,1:?,2:bad,,0.54,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8
569,1:?,1:good,,0.79,7.1,0.23,0.3,2.6,0.034,62,148,0.99121,3.03,0.56,11.3
570,1:?,2:bad,,0.99,7.2,0.34,0.28,10.4,0.108,43,187,0.99738,2.96,0.57,9.4
571,1:?,2:bad,,0.77,7.3,0.28,0.35,1.6,0.054,31,148,0.99178,3.18,0.47,10.7
572,1:?,2:bad,,0.83,6.2,0.29,0.29,5.6,0.046,35,178,0.99313,3.25,0.51,10.533333
573,1:?,2:bad,,0.89,6.5,0.23,0.2,7.5,0.05,44,179,0.99504,3.18,0.48,9.533333
574,1:?,2:bad,,0.77,7.3,0.28,0.35,1.6,0.054,31,148,0.99178,3.18,0.47,10.7
575,1:?,2:bad,,0.99,7.1,0.31,0.25,11.2,0.048,32,136,0.99663,3.14,0.4,9.5
576,1:?,2:bad,,0.76,6.3,0.19,0.33,10.1,0.063,63,133,0.99561,2.86,0.41,9.1
577,1:?,2:bad,,0.99,7.1,0.31,0.25,11.2,0.048,32,136,0.99663,3.14,0.4,9.5
578,1:?,2:bad,,0.91,6.5,0.22,0.19,4.5,0.096,16,115,0.9937,3.02,0.44,9.6
579,1:?,2:bad,,0.84,7,0.23,0.28,2.7,0.053,16,92,0.99372,3.18,0.56,9.3
580,1:?,2:bad,,0.98,6.4,0.35,0.21,2.1,0.051,46,171,0.9932,3.16,0.5,9.5
581,1:?,2:bad,,0.97,6.1,0.34,0.21,5,0.042,17,133,0.99373,3.02,0.53,9.4
582,1:?,2:bad,,0.96,6.5,0.315,0.2,6.6,0.041,9,126,0.99494,2.94,0.51,8.8
583,1:?,2:bad,,0.97,6.1,0.34,0.21,5,0.042,17,133,0.99373,3.02,0.53,9.4
584,1:?,2:bad,,0.98,6.4,0.26,0.21,8.2,0.05,51,182,0.99542,3.23,0.48,9.5
585,1:?,2:bad,,0.98,6.4,0.26,0.21,8.2,0.05,51,182,0.99542,3.23,0.48,9.5
586,1:?,2:bad,,0.69,6.3,0.28,0.22,9.5,0.04,30,111,0.99338,3.05,0.31,10.8
587,1:?,2:bad,,0.89,6.2,0.25,0.44,15.8,0.057,39,167,0.99804,3.14,0.51,9.2
588,1:?,2:bad,,0.52,7.3,0.22,0.37,15.5,0.048,70,203,0.99899,3.25,0.77,9.4
589,1:?,2:bad,,0.89,6.2,0.25,0.44,15.8,0.057,39,167,0.99804,3.14,0.51,9.2
590,1:?,2:bad,,0.93,6.6,0.24,0.22,12.3,0.051,35,146,0.99676,3.1,0.67,9.4
591,1:?,2:bad,,0.91,7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8
592,1:?,2:bad,,0.91,7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8
593,1:?,2:bad,,0.91,7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8
594,1:?,2:bad,,0.93,6.6,0.24,0.22,12.3,0.051,35,146,0.99676,3.1,0.67,9.4
595,1:?,2:bad,,0.91,7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8
596,1:?,2:bad,,0.81,5.2,0.22,0.46,6.2,0.066,41,187,0.99362,3.19,0.42,9.733333
597,1:?,2:bad,,0.97,5.9,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4
598,1:?,2:bad,,0.97,5.9,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4
599,1:?,1:good,,0.99,6.3,0.29,0.29,3.3,0.037,32,140,0.9895,3.17,0.36,12.8
600,1:?,2:bad,,0.96,5.7,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4
601,1:?,1:good,,0.99,6.3,0.29,0.29,3.3,0.037,32,140,0.9895,3.17,0.36,12.8
602,1:?,2:bad,,0.87,5.7,0.24,0.47,6.3,0.069,35,182,0.99391,3.11,0.46,9.733333
603,1:?,1:good,,0.95,5.8,0.3,0.38,4.9,0.039,22,86,0.98963,3.23,0.58,13.1
604,1:?,1:good,,0.71,7.1,0.27,0.27,10.4,0.041,26,114,0.99335,3.04,0.52,11.5
605,1:?,1:good,,0.95,5.8,0.3,0.38,4.9,0.039,22,86,0.98963,3.23,0.58,13.1
606,1:?,1:good,,0.71,7.1,0.27,0.27,10.4,0.041,26,114,0.99335,3.04,0.52,11.5
607,1:?,2:bad,,0.96,6.3,0.305,0.22,16,0.061,26,141,0.99824,3.08,0.5,9.1
608,1:?,2:bad,,0.88,5.7,0.24,0.47,6.3,0.069,35,182,0.99391,3.11,0.46,9.75
609,1:?,2:bad,,0.97,6.3,0.32,0.26,12.3,0.044,24,205,0.99611,3.11,0.58,9.9
610,1:?,2:bad,,0.95,8.1,0.36,0.59,13.6,0.051,60,134,0.99886,2.96,0.39,8.7
611,1:?,2:bad,,1,6.9,0.56,0.26,10.9,0.06,55,193,0.9969,3.21,0.44,9.4
612,1:?,2:bad,,0.8,6.1,0.21,0.19,1.4,0.046,51,131,0.99184,3.22,0.39,10.5
613,1:?,2:bad,,0.99,7.2,0.47,0.16,5.9,0.048,14,125,0.99428,3.09,0.49,9.8
614,1:?,2:bad,,0.98,6.7,0.34,0.31,16.4,0.051,20,146,0.99834,3.06,0.54,9.1
615,1:?,2:bad,,0.98,6.7,0.34,0.31,16.4,0.051,20,146,0.99834,3.06,0.54,9.1
616,1:?,2:bad,,0.99,7.2,0.47,0.16,5.9,0.048,14,125,0.99428,3.09,0.49,9.8
617,1:?,2:bad,,0.75,7.3,0.3,0.25,2.5,0.045,32,122,0.99329,3.18,0.54,10.3
618,1:?,2:bad,,0.98,6.3,0.3,0.19,7.7,0.049,47,184,0.99514,3.22,0.48,9.5
619,1:?,2:bad,,0.98,6.3,0.39,0.22,2.8,0.048,53,173,0.99304,3.24,0.45,9.8
620,1:?,2:bad,,0.97,6,0.28,0.29,19.3,0.051,36,174,0.99911,3.14,0.5,9
621,1:?,2:bad,,0.97,6,0.28,0.29,19.3,0.051,36,174,0.99911,3.14,0.5,9
622,1:?,2:bad,,0.97,6,0.28,0.29,19.3,0.051,36,174,0.99911,3.14,0.5,9
623,1:?,1:good,,0.91,6.6,0.35,0.26,2.7,0.045,19,129,0.98952,3.24,0.48,13
624,1:?,2:bad,,0.83,5.9,0.22,0.18,6.4,0.041,28,120,0.99403,3.27,0.5,9.9
625,1:?,2:bad,,0.93,6.6,0.26,0.56,15.4,0.053,32,141,0.9981,3.11,0.49,9.3
626,1:?,2:bad,,0.93,6.6,0.26,0.56,15.4,0.053,32,141,0.9981,3.11,0.49,9.3
627,1:?,1:good,,0.54,6.2,0.32,0.24,4.1,0.051,34,149,0.99306,3.36,0.52,11
628,1:?,2:bad,,0.69,6.3,0.25,0.27,6.6,0.054,40,158,0.99378,3.2,0.48,10.3
629,1:?,2:bad,,0.51,7,0.28,0.28,1.4,0.039,12,83,0.99173,3.18,0.65,11.1
630,1:?,2:bad,,1,7.1,0.36,0.2,1.6,0.271,24,140,0.99356,3.11,0.63,9.8
631,1:?,2:bad,,0.97,6.4,0.32,0.26,7.9,0.05,53,180,0.99514,3.14,0.5,9.6
632,1:?,2:bad,,0.97,6.4,0.32,0.26,7.9,0.05,53,180,0.99514,3.14,0.5,9.6
633,1:?,2:bad,,0.95,6,0.555,0.26,4.5,0.053,17,126,0.9943,3.24,0.46,9.1
634,1:?,2:bad,,0.57,5.9,0.22,0.45,22.6,0.12,55,122,0.99636,3.1,0.35,12.8
635,1:?,2:bad,,0.97,6.4,0.32,0.26,7.9,0.05,53,180,0.99514,3.14,0.5,9.6
636,1:?,2:bad,,0.97,5.8,0.28,0.18,1.2,0.058,7,108,0.99288,3.23,0.58,9.55
637,1:?,2:bad,,0.95,5.8,0.555,0.26,4.5,0.053,17,126,0.9943,3.24,0.46,9.1
638,1:?,2:bad,,0.98,6.3,0.29,0.3,8.1,0.212,60,150,0.9958,3.1,0.4,9.3
639,1:?,2:bad,,0.59,6.8,0.2,0.25,6.2,0.052,22,106,0.9935,3.09,0.54,10.8
640,1:?,1:good,,0.86,5.8,0.61,0.01,8.4,0.041,31,104,0.9909,3.26,0.72,14.05
641,1:?,2:bad,,0.83,6.5,0.32,0.23,8.5,0.051,20,138,0.9943,3.03,0.42,10.7
642,1:?,2:bad,,0.93,6.4,0.28,0.23,6,0.051,50,162,0.994,3.15,0.52,10.2
643,1:?,1:good,,0.89,5.1,0.305,0.13,1.75,0.036,17,73,0.99,3.4,0.51,12.333333
644,1:?,1:good,,0.78,5.8,0.26,0.3,2.6,0.034,75,129,0.9902,3.2,0.38,11.5
645,1:?,2:bad,,0.87,6.7,0.23,0.17,1.3,0.061,14,100,0.9925,3.07,0.55,9.5
646,1:?,2:bad,,0.98,6.1,0.4,0.18,9,0.051,28.5,259,0.9964,3.19,0.5,8.8
647,1:?,2:bad,,0.97,5.8,0.31,0.31,7.5,0.052,55,230,0.9949,3.19,0.46,9.8
648,1:?,2:bad,,1,6.3,0.36,0.2,2,0.048,48,191,0.9929,3.17,0.51,9.6
649,1:?,2:bad,,0.74,6.7,0.18,0.25,14.3,0.048,79,149,0.9975,3.12,0.37,9.7
650,1:?,2:bad,,0.88,6.1,0.25,0.18,10.5,0.049,41,124,0.9963,3.14,0.35,10.5
651,1:?,2:bad,,0.81,8.3,0.18,0.37,1.2,0.049,6,94,0.9937,3.18,0.52,10.1
652,1:?,1:good,,0.5,8.3,0.14,0.36,8.8,0.026,13,60,0.9956,3.13,0.35,11.05
653,1:?,1:good,,0.59,6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1
654,1:?,1:good,,0.59,6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1
655,1:?,2:bad,,0.89,6.4,0.46,0.22,14.7,0.047,51,183,0.998275,3.39,0.6,10.5
656,1:?,1:good,,0.59,6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1
657,1:?,2:bad,,0.98,6.8,0.45,0.3,11.8,0.094,23,97,0.997,3.09,0.44,9.6
658,1:?,1:good,,0.86,6.1,0.2,0.4,1.9,0.028,32,138,0.9914,3.26,0.72,11.7
659,1:?,2:bad,,0.53,6.9,0.22,0.32,9.3,0.04,22,110,0.9958,3.34,0.54,10.7
660,1:?,1:good,,0.61,5.6,0.18,0.3,10.2,0.028,28,131,0.9954,3.49,0.42,10.8
661,1:?,1:good,,0.62,5.6,0.26,0.27,10.6,0.03,27,119,0.9947,3.4,0.34,10.7
662,1:?,1:good,,0.6,7,0.23,0.35,1.4,0.036,31,113,0.9912,3.16,0.48,10.8
663,1:?,1:good,,0.54,5.8,0.28,0.66,9.1,0.039,26,159,0.9965,3.66,0.55,10.8
664,1:?,1:good,,0.71,8.6,0.36,0.26,11.1,0.03,43.5,171,0.9948,3.03,0.49,12
665,1:?,1:good,,0.54,5.8,0.28,0.66,9.1,0.039,26,159,0.9965,3.66,0.55,10.8
666,1:?,1:good,,0.96,5.7,0.22,0.28,1.3,0.027,26,101,0.98948,3.35,0.38,12.5
667,1:?,1:good,,0.86,5.6,0.22,0.32,1.2,0.024,29,97,0.98823,3.2,0.46,13.05
668,1:?,1:good,,0.96,6.2,0.2,0.26,9.7,0.03,39,102,0.9908,3.08,0.56,12.9
669,1:?,1:good,,0.96,6.1,0.35,0.24,2.3,0.034,25,133,0.9906,3.34,0.59,12
670,1:?,1:good,,0.65,5.9,0.3,0.29,1.1,0.036,23,56,0.9904,3.19,0.38,11.3
671,1:?,1:good,,0.91,4.8,0.13,0.32,1.2,0.042,40,98,0.9898,3.42,0.64,11.8
672,1:?,1:good,,0.78,6.4,0.3,0.33,5.2,0.05,30,137,0.99304,3.26,0.58,11.1
673,1:?,1:good,,0.78,6.5,0.16,0.33,1,0.027,23,75,0.9908,3.3,0.39,11.4
674,1:?,1:good,,0.61,6.9,0.29,0.32,5.8,0.04,16,112,0.993,3.04,0.58,11.2
675,1:?,1:good,,0.74,6.2,0.36,0.27,3.2,0.032,13,73,0.98942,2.9,0.69,12.6
676,1:?,2:bad,,0.77,6,0.615,0.04,0.8,0.032,8,50,0.99036,3.14,0.4,11
677,1:?,1:good,,0.65,5.9,0.42,0.36,2.4,0.034,19,77,0.99184,3.25,0.48,10.9
678,1:?,2:bad,,0.96,5.8,0.34,0.21,7.2,0.041,48,146,0.99441,3.16,0.49,9.8
679,1:?,2:bad,,0.93,5.8,0.27,0.2,7.3,0.04,42,145,0.99442,3.15,0.48,9.8
680,1:?,2:bad,,0.98,7.1,0.33,0.18,6.3,0.094,27,166,0.99474,2.9,0.49,9.5
681,1:?,1:good,,0.88,6.1,0.44,0.28,4.25,0.032,43,132,0.9916,3.26,0.47,11.266667
682,1:?,2:bad,,0.66,7.3,0.28,0.37,1.2,0.039,26,99,0.99198,3.01,0.62,10.8
683,1:?,1:good,,0.97,5.2,0.5,0.18,2,0.036,23,129,0.98949,3.36,0.77,13.4
684,1:?,1:good,,0.88,6.1,0.44,0.28,4.25,0.032,43,132,0.9916,3.26,0.47,11.3
685,1:?,2:bad,,1,6.4,0.62,0.12,4.7,0.06,33,196,0.99556,3.22,0.48,8.9
686,1:?,1:good,,0.63,7.5,0.305,0.38,1.4,0.047,30,95,0.99158,3.22,0.52,11.5
687,1:?,1:good,,0.94,6.5,0.5,0.22,4.1,0.036,35,131,0.9902,3.26,0.55,13
688,1:?,2:bad,,0.66,8.3,0.49,0.23,6.65,0.034,6,158,0.99344,3.05,0.48,11.2
689,1:?,1:good,,0.73,5.6,0.24,0.34,2,0.041,14,73,0.98981,3.04,0.45,11.6
690,1:?,2:bad,,0.73,5.7,0.25,0.32,12.2,0.041,43,127,0.99524,3.23,0.53,10.4
691,1:?,1:good,,0.82,6.6,0.21,0.39,2.3,0.041,31,102,0.99221,3.22,0.58,10.9
692,1:?,2:bad,,0.76,6.5,0.51,0.25,1.7,0.048,39,177,0.99212,3.28,0.57,10.566667
693,1:?,2:bad,,0.75,6.5,0.51,0.25,1.7,0.048,39,177,0.99212,3.28,0.57,10.6
694,1:?,1:good,,0.96,5.7,0.24,0.3,1.3,0.03,25,98,0.98968,3.37,0.43,12.4
695,1:?,1:good,,0.9,5,0.24,0.34,1.1,0.034,49,158,0.98774,3.32,0.32,13.1
696,1:?,1:good,,0.5,5.9,0.18,0.28,1,0.037,24,88,0.99094,3.29,0.55,10.65
697,1:?,1:good,,0.71,5.8,0.26,0.29,1,0.042,35,101,0.99044,3.36,0.48,11.4
698,1:?,2:bad,,1,6.7,0.61,0.21,1.65,0.117,40,240,0.9938,3.11,0.57,9.3
699,1:?,2:bad,,0.77,5.7,0.695,0.06,6.8,0.042,9,84,0.99432,3.44,0.44,10.2
700,1:?,2:bad,,0.77,5.6,0.695,0.06,6.8,0.042,9,84,0.99432,3.44,0.44,10.2
701,1:?,1:good,,0.98,5.7,0.39,0.25,4.9,0.033,49,113,0.98966,3.26,0.58,13.1
702,1:?,2:bad,,0.99,6.1,0.38,0.47,1.4,0.051,59,210,0.99309,3.24,0.5,9.6
703,1:?,1:good,,0.85,6.3,0.36,0.28,2.5,0.035,18,73,0.98868,3.1,0.47,12.8
704,1:?,1:good,,0.74,6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,10.966667
705,1:?,1:good,,0.74,6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,10.966667
706,1:?,1:good,,0.74,6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,10.966667
707,1:?,1:good,,0.75,6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,11
708,1:?,2:bad,,0.68,8,0.23,0.41,1.1,0.048,35,150,0.99168,3.09,0.47,11.2
709,1:?,1:good,,0.61,6,0.17,0.33,6,0.036,30,111,0.99362,3.32,0.58,10.133333
710,1:?,1:good,,0.58,6.1,0.16,0.34,6.1,0.034,31,114,0.99365,3.32,0.58,10.133333
711,1:?,2:bad,,1,6.4,0.31,0.53,8.8,0.057,36,221,0.99642,3.17,0.44,9.1
712,1:?,1:good,,0.59,6.1,0.16,0.34,6.1,0.034,31,114,0.99365,3.32,0.58,10.15
713,1:?,1:good,,0.62,6,0.17,0.33,6,0.036,30,111,0.99362,3.32,0.58,10.15
714,1:?,1:good,,0.61,5.9,0.44,0.33,1.2,0.049,12,117,0.99134,3.46,0.44,11.5
715,1:?,2:bad,,0.63,4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.466667
716,1:?,2:bad,,0.63,4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.466667
717,1:?,1:good,,0.98,6,0.28,0.52,6.2,0.028,37,104,0.99161,3.28,0.51,11.8
718,1:?,1:good,,0.96,5.8,0.35,0.29,3.2,0.034,41,151,0.9912,3.35,0.58,11.633333
719,1:?,1:good,,0.98,6,0.28,0.52,6.2,0.028,37,104,0.99161,3.28,0.51,11.8
720,1:?,2:bad,,0.62,4.7,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.5
721,1:?,2:bad,,0.94,6.8,0.63,0.04,1.3,0.058,25,133,0.99271,3.17,0.39,10.2
722,1:?,2:bad,,0.82,7.2,0.26,0.32,10.4,0.062,23,114,0.9966,3.23,0.49,10.5
723,1:?,2:bad,,0.94,6.8,0.63,0.04,1.3,0.058,25,133,0.99271,3.17,0.39,10.2
724,1:?,1:good,,0.53,6.9,0.19,0.31,19.25,0.043,38,167,0.99954,2.93,0.52,9.1
725,1:?,2:bad,,0.83,6,0.36,0.32,1.1,0.053,26,173,0.99414,3.38,0.54,8.8
726,1:?,1:good,,0.53,6.9,0.19,0.31,19.25,0.043,38,167,0.99954,2.93,0.52,9.1
727,1:?,1:good,,0.97,6.7,0.35,0.32,9,0.032,29,113,0.99188,3.13,0.65,12.9
728,1:?,1:good,,0.97,6.7,0.35,0.32,9,0.032,29,113,0.99188,3.13,0.65,12.9
729,1:?,2:bad,,0.79,6.8,0.3,0.33,12.8,0.041,60,168,0.99659,3.1,0.56,9.8
730,1:?,2:bad,,0.79,6.8,0.3,0.33,12.8,0.041,60,168,0.99659,3.1,0.56,9.8
731,1:?,1:good,,0.81,5.9,0.12,0.28,1.4,0.037,36,83,0.99074,3.33,0.42,10.9
732,1:?,1:good,,0.94,6.1,0.22,0.4,1.85,0.031,25,111,0.98966,3.03,0.3,11.8
733,1:?,1:good,,0.97,5.4,0.33,0.31,4,0.03,27,108,0.99031,3.3,0.43,12.2
734,1:?,1:good,,0.94,6.1,0.22,0.4,1.85,0.031,25,111,0.98966,3.03,0.3,11.8
735,1:?,1:good,,0.89,6.6,0.27,0.32,1.3,0.044,18,93,0.99044,3.11,0.56,12.25
736,1:?,2:bad,,0.97,6.8,0.32,0.43,1.6,0.05,4,65,0.99346,3.27,0.47,10.7
737,1:?,2:bad,,0.56,7.9,0.3,0.6,1.85,0.048,13,106,0.99331,3.24,0.49,11.85
738,1:?,1:good,,0.97,6.1,0.24,0.32,9,0.031,41,134,0.99234,3.25,0.26,12.3
739,1:?,2:bad,,0.98,6,0.32,0.46,1.5,0.05,56,189,0.99308,3.24,0.49,9.6
740,1:?,1:good,,0.7,6,0.14,0.37,1.2,0.032,63,148,0.99185,3.32,0.44,11.2
741,1:?,2:bad,,0.82,5,0.24,0.19,5,0.043,17,101,0.99438,3.67,0.57,10
742,1:?,2:bad,,0.66,6.1,0.26,0.25,2.9,0.047,289,440,0.99314,3.44,0.64,10.5
743,1:?,2:bad,,0.97,6.1,0.34,0.24,18.35,0.05,33,184,0.99943,3.12,0.61,9.3
744,1:?,1:good,,0.7,6,0.14,0.37,1.2,0.032,63,148,0.99185,3.32,0.44,11.2
745,1:?,1:good,,0.94,5.1,0.25,0.36,1.3,0.035,40,78,0.9891,3.23,0.64,12.1
746,1:?,1:good,,0.99,6,0.38,0.26,3.5,0.035,38,111,0.98872,3.18,0.47,13.6
